"","AGE","AVPREARN","BENEPAID","BENPDBYE","BENYRBEG","BLACK","BONELIGB","CLAIMDT","CONTROL","DEPALLOW","ELIG2","EXSTBEN1","EXSTBENY","HIE","HISPANIC","JSIE","L1QWAGES","L2QWAGES","L3QWAGES","L4QWAGES","LAGREE","MALE","MBASR","NATVAMER","NOHSUB","NOHSUB1","OTHERACE","POSPEARN","POSQEARN","PREPEARN","REFILEDT","REFILEIN","REHIRE11","REHIREDT","REHIREIN","RHIREARN","SRBEN1","SRBENYR","VCHPAID","WGETOT1","WGETOT2","WGETOT3","WGETOT4","WGETOT5","WGETOT6","WHITE","WKBENEFT","WKPAID","WKSPDBYE"
"3708",35,10000,4186,4186,9004,0,0,9004,1,0,1,1,1,0,0,0,9231,10769,10769,9231,NA,1,4186,0,0,0,0,0,0,9974,NA,0,0,NA,0,0,4186,4186,0,9974,0,0,0,0,0,1,161,26,26
"3709",32,5691,1463,1463,8997,0,1,8997,0,48,1,0,0,1,0,0,6273,5474,5985,5031,1,1,5434,0,0,0,0,6061,6173,5377,NA,0,1,9055,1,1,1463,1463,0,5377,4481,6061,6173,6250,6250,1,161,7,7
"3710",35,3450,5016,5016,9025,0,0,9025,0,0,1,1,1,1,0,0,3726,3394,3413,3267,0,0,3432,0,0,0,0,565,565,3450,NA,0,0,NA,0,0,3432,3432,0,3450,4449,0,0,0,565,1,132,38,38
"3711",21,2955,464,464,9018,0,1,9018,0,0,1,0,0,0,0,1,2985,3222,2603,3011,1,0,3016,0,1,1,0,2863,4736,3813,NA,0,1,9054,1,1,464,464,1,3813,3997,2863,4736,3878,4224,1,116,4,4
"3712",34,4604,483,483,8976,0,1,8976,0,0,1,0,0,0,0,1,4917,4666,4632,4201,1,0,4186,0,1,1,0,3684,0,5083,NA,0,1,9005,1,1,483,483,1,5083,2926,0,3684,3692,3993,1,161,3,3
"3713",34,2286,5434,5434,9053,0,0,9053,0,48,1,1,1,0,0,1,0,0,8255,889,1,0,5434,0,0,0,1,0,0,8255,NA,0,0,NA,0,0,5434,5434,0,8255,8255,3556,0,0,0,0,161,26,26
"3714",32,6959,7942,7942,9011,1,0,9011,0,48,1,1,1,1,0,0,8409,2211,8682,8534,NA,1,5434,0,0,0,0,0,0,4721,NA,0,0,NA,0,0,5434,5434,0,4721,5276,0,0,0,0,0,161,38,38
"3715",31,12207,1881,4389,8976,0,1,8976,0,48,1,0,0,1,0,0,12675,12729,12923,10500,0,1,5434,0,0,0,0,6422,6422,13321,9179,1,1,9047,1,1,1881,4389,0,13321,0,6422,0,500,0,1,161,9,21
"3716",30,4232,1771,1771,9032,0,0,9032,0,0,1,0,0,0,0,1,4119,4323,4436,4051,1,0,4186,0,0,0,0,4580,4580,4248,NA,0,0,9123,1,0,1771,1771,0,4248,4367,0,4580,4770,0,1,161,11,11
"3717",35,3187,7942,7942,9004,0,0,9004,0,48,1,1,1,0,0,1,3094,4463,664,4528,0,0,5434,0,0,0,0,4264,0,4235,NA,0,0,NA,0,0,5434,5434,0,4235,2004,4264,0,0,0,1,161,38,38
"3718",33,4953,209,5385,9053,0,0,9053,0,48,1,0,0,1,0,0,4615,4615,5612,4970,1,0,5434,0,1,1,0,1931,1931,5339,9158,1,1,9067,1,1,209,5385,0,4615,5339,5608,1931,0,375,1,161,1,26
"3719",33,1068,0,0,8983,0,1,8983,0,14,1,0,0,1,0,0,843,1213,1012,1203,1,0,1690,0,0,0,0,1239,1239,1941,NA,0,1,8990,1,1,0,0,0,1941,1170,1239,891,0,450,1,51,0,0
"3720",33,2861,745,745,8976,1,1,8976,1,35,1,0,0,0,0,0,2701,3014,3150,2580,NA,0,3874,0,0,0,0,3048,3048,3290,NA,0,1,9026,1,1,745,745,0,3290,940,3048,3048,1659,49,0,114,5,5
"3721",29,6148,988,988,9025,0,1,9025,0,48,1,0,0,0,0,1,6755,6045,6005,5785,1,1,5434,0,1,1,0,2895,0,6986,NA,0,1,9064,1,1,988,988,1,6986,6000,2895,0,6257,6550,1,161,5,5
"3722",29,2646,3692,3692,9039,0,0,9039,0,0,1,1,1,0,0,1,0,3641,4009,2935,1,0,3692,0,0,0,0,579,570,0,NA,0,0,NA,0,0,3692,3692,0,0,0,0,579,570,0,1,142,26,26
"3723",32,4927,1610,1610,9011,0,0,9011,0,0,1,0,0,0,0,1,5324,4894,5110,4380,1,0,4186,0,1,1,0,2354,4185,5145,NA,0,1,9089,1,0,1610,1610,1,5145,4839,2354,4185,5492,5181,1,161,10,10
