"","AGE","AVPREARN","BONELIGB","CLAIMDT","DEPALLOW","ELIG2","L1QWAGES","L2QWAGES","L3QWAGES","L4QWAGES","MALE","MBASR","NOHSUB","NOHSUB1","POSPEARN","POSQEARN","PREPEARN","SRBEN1","SRBENYR","WGETOT1","WGETOT2","WGETOT3","WGETOT4","WGETOT5","WGETOT6","Z_HIE","Z_JSIE","A_HIE","A_JSIE","time_r","status_r","RACE"
"10939",53,801,1,8990,0,1,0,0,2759,444,1,1560,0,0,3459,3459,3357,0,0,3357,2604,3459,3375,4205,3723,1,0,1,0,32,1,"Black"
"10940",52,1196,0,8990,23,1,2343,1800,387,252,0,2600,0,0,676,3803,3178,1900,1900,3178,587,676,3803,0,696,0,1,0,1,140,1,"Black"
"10941",51,2025,0,9018,27,1,2483,2341,1314,1962,1,3042,0,0,1896,113,2433,1053,3042,2433,5976,1896,113,2695,3676,0,1,0,1,70,1,"Black"
"10942",46,1680,0,8983,0,1,1680,1680,1759,1601,1,1664,0,0,0,0,1654,1664,1664,1654,414,0,0,0,0,0,1,0,1,182,0,"Black"
"10943",46,1710,0,9067,0,1,0,0,4940,1900,0,3302,0,0,0,0,4940,3302,3302,0,4940,1520,0,0,0,1,0,1,0,182,0,"Black"
"10944",45,6091,0,9081,48,1,6884,6815,5083,5581,1,5434,0,0,1152,3900,5648,3135,3135,6884,5648,6240,1152,3900,3852,0,1,0,1,113,1,"Black"
"10945",54,858,0,9053,0,1,0,1614,1560,258,0,1534,0,0,0,0,107,0,0,1614,107,0,0,0,0,0,0,0,0,7,1,"Black"
"10946",47,2249,0,9004,0,1,0,828,1997,6171,1,3926,0,0,0,0,843,3926,3926,843,0,0,0,0,0,1,0,1,0,182,0,"Black"
"10947",50,4273,0,9060,48,1,4016,4008,4726,4342,1,5434,0,0,0,0,4446,5434,5434,4016,4446,1026,0,0,0,1,0,1,0,182,0,"Black"
"10948",43,2594,0,9018,30,1,2684,2610,2494,2587,0,3328,0,0,0,0,2680,3328,3328,2680,3772,0,0,0,0,0,1,0,1,182,0,"Black"
"10949",43,821,0,9067,0,1,843,905,1112,424,1,1326,0,0,0,0,1285,1326,1326,843,1285,392,0,0,0,1,0,1,0,182,0,"Black"
"10950",40,5825,1,9074,48,1,5938,6929,6283,4150,1,5434,0,0,6468,6468,5244,418,627,5938,5244,4409,6468,3705,4837,0,0,0,0,22,1,"Black"
"10951",36,4376,0,8976,48,1,4108,4200,4103,5094,1,5434,0,0,3612,0,5162,5434,5434,5162,1654,3612,0,0,0,0,1,0,0,182,0,"Black"
"10952",41,6752,0,9039,48,1,7703,6627,6872,5807,1,5434,0,0,0,0,7807,5434,5434,7807,5583,0,0,0,0,0,0,0,0,182,0,"Black"
"10953",35,3206,1,8990,38,1,3500,3272,3272,2778,1,4238,1,1,3231,3231,3500,326,326,3500,2602,3231,3769,3231,3538,0,1,0,1,23,1,"Black"
"10954",39,791,0,8997,0,1,0,1630,279,1256,1,1404,0,0,0,0,664,162,162,664,0,0,0,0,0,0,0,0,0,100,1,"Black"
"10955",41,4443,1,9060,0,1,4610,4302,4297,4565,0,4186,0,0,4136,4136,3874,0,966,4610,3874,4043,4136,4429,4004,1,0,1,0,8,1,"Black"
"10956",36,3930,0,9060,48,1,607,1534,6608,6972,1,5434,0,0,2850,2850,4259,209,5434,607,4259,2348,2850,3450,152,0,1,0,1,14,1,"Black"
